a0,a1,a2,a3,a4,a5,a6
26.777693,48.60668,46.891953,157.68155,148.33435,137.48943,116.32858
102.590065,108.784065,48.70751,130.12637,102.53483,148.83241,132.4375
90.94232,82.67403,58.90946,130.85641,54.63103,121.84764,128.70326
45.882812,27.993446,19.026398,159.34723,167.26367,143.45381,154.75772
121.58058,100.60841,26.812206,154.6679,147.33821,134.64803,126.95803
90.17819,81.88814,31.006636,35.52808,82.0976,108.48565,105.949005
111.0791,88.82476,26.241718,157.72758,141.70935,132.13539,132.91208
23.740555,34.316536,61.527885,123.63173,80.48888,109.40064,105.47434
95.80971,98.724266,12.532761,106.2674,106.50797,161.75087,152.8373
98.078026,97.95256,12.934619,118.34354,121.26795,160.39546,149.70517
101.48513,100.67505,21.056944,123.6737,125.13392,160.94247,149.45839
104.468544,106.04438,14.419019,120.095566,118.690346,163.16376,153.6591
98.1468,99.18807,11.11,128.05727,121.89633,163.07758,153.19601
107.40437,110.17868,13.163197,121.93025,119.33755,165.49646,155.60997
107.93516,108.058014,15.677587,108.41791,119.153,165.38972,157.9687
111.360435,110.90836,14.279982,118.877426,115.78901,166.04329,155.76758
113.221855,115.45311,17.692656,120.80213,108.94678,165.94974,160.28761
116.64117,119.76172,16.079857,116.02011,108.289444,167.95091,162.31267
118.26051,119.926315,17.43116,114.17377,102.77011,166.5774,160.85583
125.68852,127.25401,20.670334,118.6409,109.31641,166.25008,160.17072
126.363235,129.1213,15.233662,117.58197,104.109924,164.46857,162.75235
133.18658,130.9272,15.320178,127.60025,121.04681,164.12764,160.10681
130.95222,131.6899,12.334061,112.27621,100.88668,166.7502,162.38269
130.89684,130.34917,19.88887,108.72448,96.67956,168.45709,162.09215
144.20927,139.29375,18.833893,115.4079,112.30471,165.6757,162.9021
134.92426,138.16304,16.403297,112.06512,104.076035,167.08968,164.82648
136.58435,133.48389,11.162602,126.57367,122.14999,167.42459,164.81303
138.25426,134.5018,13.506978,128.23634,120.04539,164.22183,165.5994
146.21713,142.97426,15.590465,126.47466,119.884,165.25928,165.10025
140.48825,140.64406,12.913639,123.76933,117.31535,164.68314,166.78099
140.77518,147.61337,13.8559475,113.42244,108.96389,171.91795,169.36653
146.31065,140.27736,16.471462,127.768845,120.56078,165.3661,165.3242
142.48994,140.54768,18.832071,125.11584,118.01549,167.09221,165.40492
146.81201,148.68921,18.583109,126.825,118.76734,164.87819,164.15443
151.18661,156.3487,17.549406,123.51664,117.09679,167.35397,162.8453
150.092,157.08792,23.202852,116.895226,112.52497,169.56274,163.36516
156.88013,163.94994,20.944939,128.07393,122.37031,168.3927,161.96786
163.82509,172.09273,21.641872,119.68843,112.28883,166.15833,163.89307
153.66234,163.10332,19.970814,120.94088,112.5349,167.85065,163.33748
161.69264,170.89899,20.672441,136.46991,131.14816,168.01271,162.95389
147.17839,161.72021,22.874968,130.03027,121.60733,170.04008,163.42473
149.46443,160.3513,25.755587,120.29139,102.829185,167.01788,170.475
155.02003,158.01105,22.246977,120.91789,106.46914,167.52324,167.99336
153.9705,152.42665,21.320099,123.75769,110.641365,168.37857,168.01976
156.12833,166.33606,24.494404,132.48672,119.64872,167.26,168.69824
156.74745,169.02834,25.80515,127.64121,113.91876,165.13322,170.77507
152.87831,158.71246,19.940815,120.657555,112.31739,163.12079,172.7973
156.24594,161.352,20.213318,123.11284,116.51102,161.38779,174.67177
155.79794,169.9446,25.552908,126.63756,109.24547,164.67543,171.5212
155.7224,177.22787,23.86197,129.31883,118.17885,167.84535,168.74312
152.52493,166.09776,21.94611,118.05619,103.95755,170.48166,166.85115
159.77675,172.1028,18.705553,124.48604,112.981125,169.40247,165.47935
162.1992,171.00845,20.942379,115.96214,105.37129,168.22571,167.87949
168.75829,171.87709,16.680367,123.67215,109.808304,168.4224,171.45169
164.37268,172.40038,18.266562,125.60468,111.62845,164.90196,174.846
165.97757,171.40654,17.043287,119.451645,105.878365,167.27136,172.1156
166.53296,171.64612,14.192759,124.79875,106.31338,171.57852,169.48018
173.36266,166.27792,15.269195,133.67795,122.268684,172.6461,161.60323
173.89699,167.23726,15.276116,130.6276,118.497765,173.51434,163.87718
171.82861,169.66872,14.538646,125.71505,110.55688,173.08556,165.60463
169.79791,168.03864,14.430109,123.654274,109.63795,171.75856,166.37204
168.08449,168.6463,13.594096,116.206154,102.53484,172.27184,168.61896
174.87206,166.3891,20.22247,136.60922,118.170944,174.14378,161.79558
167.90994,176.37761,20.723866,137.16733,121.53358,175.93835,164.55739
174.13628,162.4204,22.79249,133.67502,116.865395,171.48082,160.01671
172.21295,164.94319,20.00054,130.71306,116.41109,169.68565,163.43718
173.96826,169.94856,18.930618,137.09435,123.59918,172.88708,158.89326
174.41057,167.30295,20.634497,135.05765,121.01178,171.77449,157.86104
174.08463,172.523,19.03814,141.29909,129.63733,174.59093,160.0237
174.33073,167.33365,16.379131,130.73747,120.0965,172.20955,158.21646
174.69345,165.9936,20.268705,138.24753,124.558014,172.90302,156.09601
172.2142,162.89879,15.3026285,139.41508,127.98731,172.32426,160.77881
171.81203,169.26868,18.543495,150.79762,143.30739,171.9406,164.97437
173.03693,163.29253,19.19109,146.77046,133.19087,169.89665,159.95886
173.67184,161.14267,20.394575,147.35078,139.58696,169.02039,159.42632
174.96074,164.44267,19.703014,142.30916,133.65239,173.33345,161.47502
175.5004,165.47415,14.9180155,142.50691,135.28313,172.78578,158.72603
175.32231,168.19102,13.36667,146.55557,138.89214,174.27586,161.46384
173.10938,170.17778,14.590685,155.34712,148.22223,173.85887,160.8589
171.65514,161.03166,17.026335,145.58136,131.24031,170.82475,156.81415
172.57346,160.71022,20.41439,137.86069,124.00194,172.52773,156.81761
174.61711,160.7319,24.539513,141.41272,130.30013,171.75308,154.33449
172.11507,164.1177,20.989653,148.59245,138.93932,170.5379,157.82704
168.54614,157.39641,20.652872,140.81804,129.54082,169.65372,160.34375
172.26918,163.58305,16.167929,144.51341,137.73972,169.58444,162.77113
169.25636,165.11636,14.999474,137.43727,129.01492,168.94298,164.3641
164.03082,161.10913,19.940643,137.24667,130.14523,161.355,166.50331
165.95149,164.79782,22.815939,147.74126,141.94394,157.0944,168.09389
166.01683,160.08119,29.158615,146.90825,139.2529,157.14897,167.02533
154.9697,150.35919,30.786034,142.19928,137.77084,155.82045,163.93384
163.9755,152.63748,27.617086,152.74385,150.31232,156.70595,164.04753
155.29062,148.60805,20.200417,146.57883,142.86989,158.19328,165.50711
160.64714,144.81526,26.155058,147.561,139.86359,162.64168,156.96014
157.38008,149.1115,21.660645,145.07104,136.29411,163.43652,161.69983
142.3446,131.09651,23.418005,138.08383,130.91347,157.9312,166.51118
132.79213,122.63835,22.977041,151.97916,142.51552,167.92438,165.64546
138.84087,130.69061,29.271915,144.43175,130.73283,166.59352,163.1226
129.16193,127.62164,21.459173,131.68898,117.84835,167.82115,167.74847
128.01793,121.732216,23.60622,136.84093,122.48155,167.2289,164.85927
123.77384,123.79261,26.629147,138.68127,123.517586,169.34862,165.35744
115.09783,121.058235,12.324321,126.15647,116.64113,169.30927,168.48047
113.11187,118.04046,10.140377,121.37981,104.54336,168.37086,165.60698
113.348915,114.861534,11.907377,135.0908,122.61145,167.22716,162.85637
108.9986,110.430275,13.2757225,119.69154,112.36804,164.57741,157.70674
105.96908,108.919685,13.013596,136.03252,127.75988,164.1422,151.32492
99.65461,100.92286,13.226631,137.01398,132.70332,162.46954,154.12224
100.96538,101.01878,18.478254,140.47676,136.3288,159.99228,156.4297
92.45487,97.67666,13.279337,123.4897,116.3543,159.70288,157.95053
95.5328,97.960464,17.439528,124.59118,113.32843,159.46841,158.39764
89.54954,95.610634,13.603189,132.1565,126.51372,158.01646,154.07123
86.62937,93.581474,19.138308,127.5613,121.3253,156.45567,158.87048
86.967606,90.77075,12.592488,117.282425,114.57652,155.96649,157.28416
81.60904,91.911095,26.725607,108.98406,107.88378,153.61325,155.07518
79.36408,88.69291,34.666447,114.69192,111.37544,154.11671,153.31693
80.48762,89.4704,29.100136,118.55048,111.19065,151.53928,153.07619
80.2079,88.25825,28.19794,88.02775,92.59115,155.87666,154.90028
83.29144,93.321815,25.163967,117.86767,121.36229,152.49948,155.8789
79.31275,92.435776,46.214073,87.84783,104.02868,154.69258,156.61671
76.91542,91.204,39.081985,105.185745,108.34009,152.04759,154.52782
77.75055,87.95355,29.723072,114.48814,111.673065,151.58353,154.23409
75.65965,84.0976,30.803719,125.530235,110.18357,150.46873,154.65984
74.80385,83.09999,28.721544,140.37355,114.92993,153.0867,156.20335
71.88396,81.81961,43.83204,145.01097,126.595665,152.40988,155.25964
73.30277,79.74565,35.28288,156.74373,145.74622,154.25165,155.2272
71.8365,75.49998,28.481222,152.75041,137.21675,154.52919,151.4243
71.0514,79.50239,37.08314,132.21896,114.203224,152.45554,153.46371
67.6634,76.1926,35.75808,129.70091,107.11991,150.10236,151.28496
70.31924,76.81903,42.784245,144.8494,121.177246,154.98175,152.3798
73.30908,79.45008,43.6062,133.55482,115.44545,153.69714,151.51591
78.25811,84.73756,28.30159,105.166176,100.33622,154.31483,155.27579
75.68358,77.58784,15.143787,129.17198,109.52904,152.5807,152.02455
71.032265,83.51007,46.739372,87.13687,94.795525,150.1069,153.69682
71.373764,80.16642,25.998323,89.36716,92.43233,153.39455,147.96233
81.010605,88.23582,29.309372,93.25068,98.17222,158.9755,152.19112
77.242226,85.88727,25.450933,127.289116,114.94237,149.76408,152.99577
79.3188,90.04728,34.36511,103.881294,115.0036,149.31587,152.633
77.49131,86.37433,27.150883,102.36466,102.71637,149.63245,150.58533
80.01135,96.40463,42.298946,117.10306,128.16702,147.6591,155.5012
83.559586,93.48009,23.99362,125.09925,124.788,150.04596,154.01334
82.68578,96.72796,43.953712,108.060295,120.355576,148.03456,153.61072
81.2167,92.7804,20.271603,115.15254,109.69338,149.89671,154.40207
82.29899,94.43683,17.449986,116.14282,113.49415,147.67566,152.5811
85.98991,101.13195,25.537893,106.96788,113.73021,147.71057,153.77727
90.42548,100.86309,26.078678,128.66376,132.36633,150.30579,153.56119
93.77183,101.27017,12.653699,115.42696,113.90611,157.00414,153.8701
96.489845,107.65119,10.75217,121.28841,116.88548,154.06972,154.79564
101.43871,109.45569,11.231104,124.05087,116.44997,160.72684,154.14853
107.75701,114.18759,17.944134,122.17112,106.77126,160.27678,156.1128
110.59575,116.09777,13.428529,129.40503,121.15314,163.57732,154.2496
111.24839,116.758705,12.848071,114.63214,113.238914,162.72542,156.08307
121.26897,127.23661,20.433279,116.251205,105.85628,164.04169,156.52327
132.36809,135.54398,21.322906,121.32221,113.524704,161.7997,160.48256
134.54189,134.70178,29.864952,126.82498,116.97624,162.83745,159.52496
138.64865,134.8493,30.62733,124.38408,112.68189,163.05115,155.90613
142.69426,142.43713,27.554623,118.29827,105.512794,161.78023,161.69017
129.5329,125.740974,13.323437,135.84604,128.02003,163.10834,161.53775
