a0,a1,a2,a3,a4,a5,a6
48.36187,49.394653,36.802025,68.51109,78.07006,109.36034,111.57727
47.066204,50.17585,36.177032,65.19433,74.92782,108.85149,112.54593
45.789692,47.95631,33.597607,63.890144,71.216385,105.23379,110.241684
38.118824,42.321056,32.80671,65.110466,72.00761,103.786575,110.5605
38.379906,43.56399,33.13262,60.844826,67.57725,102.439156,112.5355
39.094963,42.50451,32.37263,58.72644,64.32126,101.36311,110.2396
37.070786,40.201973,32.363945,55.599796,60.894253,98.901924,109.92163
36.978,42.527683,32.66967,55.898567,62.35989,99.23481,108.47016
33.43521,38.018314,29.890474,56.91963,59.636326,97.93415,106.30513
38.821644,42.201748,30.219234,51.459393,53.8916,98.58167,110.28395
37.457516,40.816437,30.05075,51.305164,53.316093,95.62625,105.36465
52.080727,53.5705,29.628887,48.619823,49.278343,96.9832,106.66086
62.49683,62.05199,28.117743,50.394344,51.856796,102.87935,111.21909
44.287872,46.119823,28.96094,50.2181,53.117367,98.9006,109.69309
62.354897,62.155563,27.169415,49.92155,54.849384,104.543655,114.82774
65.051636,65.19715,27.1369,49.312195,49.39363,106.14133,116.47398
67.32971,67.63252,27.083782,48.625076,50.636337,106.014915,115.28968
67.7591,67.77409,26.51346,49.67485,49.811672,107.68919,116.67278
67.12501,67.32792,27.235739,48.04436,49.032932,107.456955,116.618996
53.710667,54.79603,26.330124,50.569016,52.7146,105.04302,114.56177
64.58311,63.72118,26.048458,49.59543,49.38604,109.50346,115.95613
60.246048,60.366978,26.433165,47.957233,51.521973,107.37721,115.691185
54.306583,55.002514,27.088583,50.15775,51.065907,105.04035,112.97552
48.71295,49.43611,27.010159,51.32709,55.740948,102.01547,109.2272
66.744484,69.15553,25.805817,49.825783,51.92976,112.30086,118.547134
41.962257,46.98262,27.78456,50.77552,54.09511,105.75373,115.36981
47.58004,53.558685,29.48422,52.544193,56.277966,107.171906,113.96185
44.46854,45.819305,32.18679,58.001316,60.550976,99.89345,107.230675
44.770493,50.106857,33.533398,64.21746,70.808784,109.93547,110.57939
43.000668,43.690334,35.333656,68.52209,73.70761,109.18511,104.83815
52.11541,51.85793,34.638416,73.37914,77.77002,116.88809,117.986115
53.729866,51.790127,35.165546,77.69638,84.52508,118.730835,116.771965
54.734905,54.43908,35.730762,87.483925,90.82575,118.84774,117.60994
53.66649,54.45365,35.603283,97.51344,94.98741,118.222466,113.92469
62.812473,63.587055,38.615864,104.56201,108.96714,123.103226,123.51655
70.87294,71.18255,38.045185,121.23525,127.550125,124.274086,126.16404
