a0,a1,a2,a3,a4,a5,a6
116.38945,110.09775,46.067078,125.5715,122.347015,134.82947,123.94729
98.70639,91.85658,42.750427,122.56733,121.28456,120.47519,114.963936
84.44211,75.14689,40.70124,128.17473,127.8772,116.80531,107.031654
78.61746,62.36314,34.944843,128.7936,124.88801,118.65153,104.160355
57.401318,60.903755,29.07663,137.60869,133.35797,106.847496,110.162
44.426704,68.81238,27.221767,130.4321,121.47223,101.80546,121.32295
30.950373,34.830322,24.800014,122.048904,115.0347,92.84701,97.31956
25.65493,28.66288,20.779661,124.64815,120.70185,98.86028,101.526535
23.231007,18.512348,17.477036,119.99577,117.21167,105.92694,100.16235
16.331358,5.084305,16.299946,110.47213,108.90508,111.43502,101.85125
17.765406,6.749041,16.043703,111.36835,107.58188,114.314476,106.71166
16.67977,6.096768,16.602352,112.219795,110.60178,114.30063,103.18054
21.076954,12.739423,16.508917,116.900406,118.26482,108.25771,96.78239
22.124712,28.964813,17.050043,122.02845,121.92595,103.662674,99.8733
30.814093,45.103287,20.532318,121.92319,132.99042,99.00789,108.07495
36.93003,53.07705,22.779785,131.63646,125.91672,98.733475,109.02636
51.4,44.670643,24.59614,130.39813,124.69723,100.14864,93.6495
61.85382,62.90302,27.627878,131.15329,123.71502,109.005516,107.37036
75.127754,69.47206,31.673088,136.1778,127.96265,113.49449,108.93856
83.24753,75.78012,37.509434,126.17681,122.31617,111.82499,106.109055
95.76782,98.9424,40.681675,125.78894,122.82447,117.892746,117.90543
114.041016,115.48871,43.578136,117.26754,121.02917,129.92891,126.06419
123.05925,127.571495,45.628178,130.95924,128.26785,137.05731,131.227
134.0852,134.70335,47.144913,124.76005,126.27789,144.01268,136.80392
148.0268,150.04527,47.28849,121.70201,121.77325,148.52374,148.11931
152.06332,155.8575,48.507713,123.58934,115.12786,143.25693,149.297
147.76332,148.39104,47.333992,121.419846,118.92187,135.4693,144.12419
146.15753,144.97664,48.220997,120.066986,116.05455,135.81468,145.81456
151.92097,154.28828,49.249832,126.76713,119.89098,138.89531,143.6695
147.17188,149.90323,47.73952,123.536194,120.53853,144.2096,147.12044
132.61581,132.09273,46.879272,124.27701,123.84371,144.43355,134.418
124.70286,121.517555,45.61594,129.28964,132.20917,138.3253,129.53368
113.17277,107.17124,41.09917,127.68707,127.261826,130.94676,121.01228
92.60584,85.87599,38.847725,123.00271,121.386185,115.2396,113.621216
82.34649,74.441414,34.790474,130.25836,128.32417,114.81442,110.810104
74.16479,62.071404,28.58514,127.013374,130.53668,115.68572,106.219376
52.281467,49.668015,25.938877,128.72365,119.30429,102.71019,98.499725
43.351894,72.12866,22.734697,135.06657,128.52238,103.01221,127.486115
30.67322,30.982866,20.778805,124.83293,122.92829,90.226395,96.99622
28.944073,29.363535,21.065954,123.17486,130.16185,102.65843,101.54648
22.47392,24.102768,17.88677,117.27466,121.295395,109.37432,101.20478
19.597813,16.268232,16.403517,114.89447,114.506134,111.18832,106.5425
21.782099,18.470366,16.811905,111.0046,111.4812,112.87391,109.1175
24.606493,19.210188,18.250397,116.976326,117.64169,113.010666,109.18863
25.93965,22.319199,17.665106,118.5594,122.66811,111.73662,98.26185
32.98794,54.975327,18.50728,119.90865,118.127266,104.18894,115.773384
32.446293,51.25784,20.234964,126.41489,125.52163,95.07541,111.55489
46.51753,57.204636,22.824585,132.11607,122.99657,99.06542,106.7655
57.72701,49.630577,25.919657,128.40642,119.04301,104.43986,96.82186
72.69389,62.013824,29.468632,124.935,123.30989,112.058395,101.301445
76.26612,74.067,34.831493,127.98802,117.6248,108.07441,105.89208
96.119606,90.591515,39.336742,127.76568,120.54067,119.39708,109.34765
112.39157,111.181244,42.459335,114.782074,113.67011,130.56688,123.51862
126.270996,123.36814,46.075787,121.27962,122.034096,142.02747,131.70227
139.97865,137.30298,46.772133,128.40701,126.767784,149.00653,140.69992
150.91762,152.22284,48.28026,124.773674,123.21961,153.71533,149.96512
155.21,159.87694,49.658157,122.87231,117.95556,151.21664,151.85681
159.50836,159.38647,51.059574,125.12608,118.32478,140.97491,149.41328
155.7868,154.72488,48.094875,128.39061,123.19852,135.8863,144.55461
157.40623,158.59947,49.05684,125.32744,116.888985,135.1298,144.76842
153.84296,153.82289,49.822582,124.87088,120.8662,146.35487,150.65244
146.20253,148.97563,49.539536,121.76552,119.87932,149.30797,146.70532
130.2604,133.11304,49.090973,128.18945,131.19785,150.26997,136.0728
122.85053,119.49534,46.911034,125.93049,125.40683,140.03603,125.26423
107.8057,105.79827,44.547993,125.13055,119.004974,129.70425,121.457726
92.384224,81.424164,40.4047,135.71704,128.45341,122.89698,107.25404
79.95939,69.00689,34.228188,126.890526,119.83046,120.00012,103.83451
63.48659,57.14387,28.604086,131.1254,123.16859,112.87985,101.92782
46.551624,57.770966,25.238663,132.27614,130.17291,102.89916,111.66049
31.720282,45.45689,22.585646,125.290665,122.70415,95.267166,105.5172
20.757019,26.434393,19.924025,125.30937,124.76566,90.26039,100.64753
19.670492,11.68061,17.900387,117.384796,113.34368,104.26906,90.95145
17.341274,16.277689,16.267597,116.32617,114.03968,111.8943,109.20007
19.091347,15.352717,16.762966,114.485435,113.569214,114.87759,110.39744
14.671468,8.390657,15.75149,114.78475,113.830795,113.5403,104.80065
18.982729,11.715139,17.071123,116.01145,118.58512,108.37303,96.21109
24.311121,34.1567,17.216337,119.884186,122.46247,101.04766,103.303955
28.357973,33.33418,19.57956,130.39577,131.34538,97.74106,98.831406
40.351616,64.22997,22.681467,130.60199,124.27274,99.83229,116.41057
50.35319,45.17502,24.963396,129.95132,121.899086,100.812775,90.01397
73.402916,59.397343,28.07636,131.62082,124.7771,115.76292,101.11078
83.239136,74.95771,33.956024,123.86443,119.73739,119.95568,109.530655
90.98465,88.599945,38.76677,124.538,121.06854,116.595764,109.79157
104.8547,109.29764,40.860462,120.78136,120.9302,124.526634,123.92114
125.12918,123.268814,44.585445,118.7988,118.80914,140.04362,133.37367
133.33229,135.55078,45.505836,133.32225,130.48785,144.26538,141.78394
145.98965,144.10034,46.642498,130.3234,131.33153,151.85124,144.76904
155.72339,157.70836,47.686657,125.178375,121.27533,153.45325,152.70145
151.51472,156.4084,47.469006,119.39075,116.57121,141.04236,148.08401
152.64445,154.49362,46.872715,120.469666,121.094864,135.41727,144.7404
149.12918,150.7189,47.969326,124.99863,120.0932,140.0092,147.80603
152.17657,156.78854,50.560432,127.19282,116.59556,145.9155,149.58446
144.40948,147.1408,48.08924,126.33923,123.65929,145.19402,146.57602
127.136314,127.919,46.262306,127.29245,126.93451,141.91647,133.03986
120.65559,112.71798,46.535954,127.15344,131.11378,136.91292,121.013504
99.42083,101.530594,42.65651,133.79726,130.78896,123.120834,119.98243
85.23736,74.02023,38.667423,127.46009,123.525276,118.62542,105.72845
72.74481,64.62591,33.118496,123.68865,117.48736,113.39309,105.48364
50.940784,50.50726,29.042072,129.65933,122.722786,101.49027,100.841675
42.5445,57.130035,24.535269,125.57349,121.59993,101.41938,114.2524
31.386429,32.007732,22.502573,118.28478,113.640884,93.06142,97.227585
23.696093,22.749397,19.17967,125.334335,126.051056,96.16358,96.89661
16.727169,10.96582,17.748913,119.87977,124.25082,107.67158,94.48142
21.4374,18.333332,16.452868,124.155334,121.333824,113.39148,109.18858
16.702328,10.507566,16.647509,112.10425,112.53318,115.46033,110.0854
19.165943,14.775631,16.605925,117.97649,114.26751,112.73555,109.49017
20.546354,17.257149,16.1125,116.167725,114.2801,107.00501,102.93631
23.161678,27.574446,17.614346,126.5929,129.82121,99.870094,101.12027
28.868818,30.183308,20.986773,121.12471,128.11562,93.47915,97.91199
37.68419,45.338627,22.820429,129.4723,123.81108,96.71782,98.85085
